Age,Age Group,Age Group Description,Gender,Purchase Frequency,Purchase Categories,Recommendation Purchase Status,Browsing Frequency,Product Search Method,Search Result Exploration,Customer Reviews Importance,Add to Cart Browsing,Cart Completion Frequency,Cart Abandonment Factors,Saveforlater Frequency,Review Left,Review Reliability,Review Helpfulness,Personalized Recommendation Frequency ,Recommendation Helpfulness,Rating Accuracy ,Shopping Satisfaction,Service Appreciation,Improvement Areas
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,Often,Yes,Highly accurate,Most satisfied,Competitive prices,Reducing packaging waste
23,18 - 24,Young Adults,Female,Once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,Often,Sometimes,Moderately accurate,Satisfied,Wide product selection,Reducing packaging waste
24,18 - 24,Young Adults,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Others,Sometimes,Few times a month,Keyword,First page,Not important,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Dissatisfied,Competitive prices,Product quality and accuracy
22,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,Extremely important,Yes,Sometimes,High shipping costs,Rarely,No,Heavily,Yes,Seldom,Yes,Mostly accurate,Satisfied,Competitive prices,Product quality and accuracy
21,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,No,Rarely,Categories,Multiple pages,Extremely important,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,Rarely,No,Not accurate,Satisfied,Wide product selection,Product quality and accuracy
22,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,Extremely important,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Shipping speed and reliability
21,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,Sometimes,Sometimes,Highly accurate,Neutral,Competitive prices,Shipping speed and reliability
20,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,First page,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,Often,Yes,Mostly accurate,Satisfied,Wide product selection,Reducing packaging waste
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,Extremely important,Yes,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Yes,Sometimes,Yes,Moderately accurate,Dissatisfied,Wide product selection,Product quality and accuracy
22,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Categories,Multiple pages,Extremely important,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Satisfied,Competitive prices,Shipping speed and reliability
25,25 - 34,Young Professionals,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,Sometimes,Yes,Moderately accurate,Most satisfied,Wide product selection,Product quality and accuracy
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,Extremely important,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,Often,No,Moderately accurate,Satisfied,Competitive prices,Product quality and accuracy
24,18 - 24,Young Adults,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,Often,Yes,Mostly accurate,Satisfied,Wide product selection,Product quality and accuracy
21,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,Rarely,Sometimes,Moderately accurate,Most satisfied,User-friendly website/app interface,Reducing packaging waste
23,18 - 24,Young Adults,Female,Less than once a month,Others,No,Rarely,Filter,First page,Extremely important,Maybe,Sometimes,High shipping costs,Sometimes,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,User-friendly website/app interface,Shipping speed and reliability
16,< 18,Minors,Male,Few times a month,Clothing and Fashion;Others,Sometimes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Satisfied,Wide product selection,Shipping speed and reliability
21,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,Extremely important,Maybe,Sometimes,Others,Never,No,Heavily,Yes,Often,Yes,Mostly accurate,Most satisfied,Wide product selection,Shipping speed and reliability
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,High shipping costs,Rarely,No,Moderately,Yes,Often,Sometimes,Moderately accurate,Satisfied,Wide product selection,Customer service responsiveness
25,25 - 34,Young Professionals,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,Seldom,Sometimes,Moderately accurate,Satisfied,Wide product selection,Product quality and accuracy
64,>= 55,Seniors,Male,Once a week,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,Moderately important ,No,Often,Changed my mind or no longer need the item,Never,No,Occasionally,Yes,Often,Yes,Highly accurate,Satisfied,Competitive prices,Reducing packaging waste
23,18 - 24,Young Adults,Female,Once a month,Clothing and Fashion,No,Few times a month,Others,First page,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Satisfied,User-friendly website/app interface,Customer service responsiveness
21,18 - 24,Young Adults,Male,Less than once a month,Others,No,Few times a week,Others,Multiple pages,Extremely important,Yes,Never,Others,Never,No,Never,Sometimes,Sometimes,Sometimes,Moderately accurate,Neutral,Product recommendations,Customer service responsiveness
16,< 18,Minors,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Categories,Multiple pages,Very important,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,Sometimes,Yes,Mostly accurate,Satisfied,Wide product selection,Shipping speed and reliability
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Others,No,Few times a month,Keyword,Multiple pages,Extremely important,Maybe,Rarely,Others,Rarely,Yes,Heavily,Yes,Sometimes,Sometimes,Highly accurate,Most satisfied,Competitive prices,Customer service responsiveness
24,18 - 24,Young Adults,Female,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a week,Categories,Multiple pages,Extremely important,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,Often,No,Mostly accurate,Neutral,User-friendly website/app interface,Product quality and accuracy
22,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,Sometimes,Sometimes,Mostly accurate,Satisfied,Wide product selection,Shipping speed and reliability
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care,No,Few times a month,Categories,Multiple pages,Slightly important,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Sometimes,Sometimes,Yes,Moderately accurate,Least satisfied,Wide product selection,Reducing packaging waste
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Others,Sometimes,Few times a week,Categories,Multiple pages,Extremely important,Yes,Often,Others,Often,No,Heavily,Yes,Sometimes,Sometimes,Mostly accurate,Satisfied,User-friendly website/app interface,Shipping speed and reliability
24,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,Slightly important,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Yes,Seldom,Yes,Not accurate,Dissatisfied,Competitive prices,Reducing packaging waste
25,25 - 34,Young Professionals,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Others,No,Few times a week,Keyword,Multiple pages,Not important,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,Often,Sometimes,Moderately accurate,Dissatisfied,Wide product selection,Product quality and accuracy
23,18 - 24,Young Adults,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,First page,Not important,Maybe,Often,Changed my mind or no longer need the item,Always,No,Heavily,Yes,Seldom,No,Moderately accurate,Dissatisfied,Competitive prices,Customer service responsiveness
23,18 - 24,Young Adults,Female,Less than once a month,Others,No,Rarely,Others,First page,Moderately important ,No,Never,Others,Never,No,Occasionally,Sometimes,Rarely,No,Moderately accurate,Neutral,Wide product selection,Product quality and accuracy
23,18 - 24,Young Adults,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,Very often,Yes,Mostly accurate,Most satisfied,Wide product selection,Reducing packaging waste
23,18 - 24,Young Adults,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,Yes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,Sometimes,Yes,Highly accurate,Most satisfied,Competitive prices,Customer service responsiveness
24,18 - 24,Young Adults,Female,Less than once a month,Others,Sometimes,Multiple times a day,Keyword,Multiple pages,Extremely important,Yes,Rarely,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Most satisfied,Wide product selection,Product quality and accuracy
24,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,First page,Slightly important,Yes,Always,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,Often,Yes,Mostly accurate,Most satisfied,Wide product selection,Shipping speed and reliability
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,Categories,Multiple pages,Extremely important,Maybe,Often,Found a better price elsewhere,Rarely,No,Moderately,Yes,Often,Sometimes,Mostly accurate,Satisfied,Wide product selection,Reducing packaging waste
29,25 - 34,Young Professionals,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,Categories,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Often,No,Moderately,Yes,Often,Yes,Mostly accurate,Satisfied,Competitive prices,Customer service responsiveness
19,18 - 24,Young Adults,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,Not important,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,Sometimes,Yes,Moderately accurate,Least satisfied,Competitive prices,Shipping speed and reliability
26,25 - 34,Young Professionals,Female,Less than once a month,Others,Yes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Yes,Very often,Yes,Mostly accurate,Satisfied,Competitive prices,Product quality and accuracy
32,25 - 34,Young Professionals,Male,Less than once a month,Others,No,Rarely,Keyword,First page,Extremely important,No,Always,Changed my mind or no longer need the item,Never,No,Moderately,Yes,Very often,No,Slightly accurate,Most satisfied,Customer service ,No problems with Amazon
30,25 - 34,Young Professionals,Female,Once a month,Home and Kitchen,No,Few times a month,Filter,Multiple pages,Very important,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Yes,Very often,No,Slightly accurate,Most satisfied,User-friendly website/app interface,Reducing packaging waste
